		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
011101111  228  238  255  208  236  276  224  216 16.941917 0.030720 SUCCESS  72
011111111  243  245  257  233  238  245  279  228  7.651957 0.468185 SUCCESS  73
100000000  260  239  221  274  236  235  271  249 11.019051 0.200622 SUCCESS  74
100010000  250  225  246  238  203  262  236  238 10.827342 0.211675 SUCCESS  75
100100000  257  247  206  250  237  264  215  253 12.857766 0.116838 SUCCESS  76
100101000  241  272  259  234  258  244  279  245 10.676940 0.220685 SUCCESS  77
100110000  254  239  246  256  233  217  262  248  6.195601 0.625332 SUCCESS  78
100111000  255  263  246  259  230  214  240  230  8.570255 0.379834 SUCCESS  79
101000000  234  231  236  253  273  220  244  272 11.067773 0.197889 SUCCESS  80
101000100  224  234  228  238  235  217  256  235  7.830956 0.450155 SUCCESS  81
101001000  241  226  255  241  268  257  229  249  6.162767 0.629005 SUCCESS  82
101001100  236  239  251  244  216  219  226  243  8.014192 0.432085 SUCCESS  83
101010000  274  261  231  239  244  240  262  235  7.607472 0.472721 SUCCESS  84
101010100  239  234  254  214  237  236  261  223  8.395493 0.395821 SUCCESS  85
101011000  240  254  235  245  228  256  224  240  4.328289 0.826356 SUCCESS  86
101011100  218  216  249  246  243  249  267  227  9.923872 0.270410 SUCCESS  87
101100000  283  256  242  261  244  250  242  261  9.597648 0.294408 SUCCESS  88
101100100  259  255  241  245  218  269  235  237  7.564046 0.477170 SUCCESS  89
101101000  246  248  243  266  235  240  228  227  4.880115 0.770309 SUCCESS  90
101101100  261  254  266  226  250  222  245  229  8.231322 0.411207 SUCCESS  91
101110000  252  250  245  284  232  250  236  253  8.531066 0.383383 SUCCESS  92
101110100  244  217  214  259  237  214  245  231 12.692536 0.122875 SUCCESS  93
101111000  231  220  244  226  218  261  254  245  9.101957 0.333768 SUCCESS  94
101111100  245  252  247  232  250  270  242  250  4.071970 0.850572 SUCCESS  95
110000000  252  227  233  289  241  218  288  249 21.750538 0.005400 FAILURE  96
110000010  253  242  247  249  232  247  242  249  1.266235 0.995943 SUCCESS  97
110000100  227  260  230  242  230  250  265  230  6.857581 0.552074 SUCCESS  98
110001000  255  218  253  262  239  264  229  250  7.980299 0.435397 SUCCESS  99
110001010  220  249  252  274  249  240  223  238  8.832929 0.356585 SUCCESS 100
110010000  260  250  189  246  208  259  229  249 21.639325 0.005630 FAILURE 101
110010010  252  273  266  219  224  228  233  225 13.388409 0.099166 SUCCESS 102
110010100  261  243  281  233  256  268  245  251 10.712951 0.218500 SUCCESS 103
110011000  232  262  270  277  262  231  242  266 13.521864 0.095111 SUCCESS 104
110011010  221  228  245  240  270  232  257  213 11.708569 0.164688 SUCCESS 105
110100000  253  215  247  267  279  225  257  280 19.036950 0.014663 SUCCESS 106
110100010  245  226  235  237  242  235  253  234  3.102832 0.927739 SUCCESS 107
110100100  212  230  266  247  255  268  251  267 12.613098 0.125873 SUCCESS 108
110101000  261  256  215  246  258  244  258  273 10.576319 0.226880 SUCCESS 109
110101010  231  238  246  238  234  248  257  211  6.911599 0.546200 SUCCESS 110
110101100  244  249  234  242  257  261  221  272  8.020547 0.431466 SUCCESS 111
110110000  285  254  238  243  257  225  247  271 13.002872 0.111751 SUCCESS 112
110110010  247  251  259  232  253  236  228  243  3.515907 0.897952 SUCCESS 113
110110100  225  249  246  232  235  251  227  245  4.086798 0.849208 SUCCESS 114
110111000  235  262  248  248  253  249  223  253  4.492460 0.810187 SUCCESS 115
110111010  265  232  235  252  234  235  223  260  6.830043 0.555076 SUCCESS 116
110111100  227  227  260  215  213  254  257  242 12.385377 0.134820 SUCCESS 117
111000000  221  250  241  280  211  238  255  252 13.477379 0.096446 SUCCESS 118
111000010  248  254  248  244  219  250  251  238  3.720326 0.881434 SUCCESS 119
111000100  249  226  257  275  234  263  241  265 10.064741 0.260511 SUCCESS 120
111000110  238  223  247  236  243  241  236  253  3.024453 0.932814 SUCCESS 121
111001000  238  256  222  240  223  234  239  243  5.344031 0.720252 SUCCESS 122
111001010  253  237  248  235  249  259  248  247  2.101918 0.977727 SUCCESS 123
111001100  257  263  280  266  243  235  239  240 10.233149 0.249042 SUCCESS 124
111010000  250  196  226  270  269  226  246  261 19.421428 0.012761 SUCCESS 125
111010010  232  243  231  246  266  258  243  245  4.224490 0.836322 SUCCESS 126
111010100  260  263  238  226  250  238  254  261  6.052614 0.641338 SUCCESS 127
111010110  225  259  236  251  254  258  218  251  7.287603 0.505944 SUCCESS 128
111011000  260  263  232  242  252  222  247  234  6.025075 0.644423 SUCCESS 129
